id,name,catalog_type,catalog_label,quality,territory_id,territory_name,territory_role,claim_nairacoin,lat,lon,image,wikimedia_commons,mapillary,wikipedia
n_2455133056,First City Monument Bank (FCMB),bank,Bank,B,unclaimed,Unclaimed area,unclaimed,0,6.449486,7.492337,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Af9d0d1a7-2624-4562-bd26-19a52c8068b9%5D%2FPOI_Picture1,,,
n_2455133507,First City Monument Bank (FCMB),bank,Bank,B,unclaimed,Unclaimed area,unclaimed,0,6.417341,7.492082,,,,
n_2455133706,First City Monument Bank (FCMB),bank,Bank,B,ogui,Ogui,unclaimed,0,6.436619,7.488865,,,,
n_2460131032,First City Monument Bank (FCMB),bank,Bank,B,independence_layout,Independence Layout,playable_faction,0,6.439979,7.506899,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A24981753-dc2b-4cd1-b480-cb354db76959%5D%2FPOI_Picture1,,,
n_2455133057,First dental consultants dental centre,hospital,Hospital,B,ogui,Ogui,unclaimed,24,6.4492,7.50105,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A0c1205b3-25c1-41e3-b04d-1f25c331cdfa%5D%2FPOI_Picture1,,,
n_2455133058,Fountain Comprehensive College,school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.476999,7.506913,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A462c5566-00a7-4b76-9f7f-3014e05f0811%5D%2FPOI_Picture1,,,
n_2455133062,"Goddip Nursery, Primary & Secondary School",school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.479255,7.511708,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Afa58eea1-5f12-432a-90d0-3464f44505bb%5D%2FPOI_Picture1,,,
n_2455133070,Golden Garden Suites,hotel,Hotel,B,unclaimed,Unclaimed area,unclaimed,36,6.452924,7.491541,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Ac04089f8-02eb-47bb-8932-9ef62a15fe61%5D%2FPOI_Picture1,,,
n_2455133079,Good Hope Stars Schools,school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.465915,7.495831,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A91d8e406-b155-45d5-8686-a1c8340237f2%5D%2FPOI_Picture1,,,
n_2455133089,Government of enugu state office of auditor general,bank,Bank,B,unclaimed,Unclaimed area,unclaimed,0,6.44584,7.491178,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3A6829acf8-3990-4d6b-82a4-c34be9cc64db%5D%2FPOI_Picture1,,,
n_2455133099,Graceland Private School,school,School,B,unclaimed,Unclaimed area,unclaimed,24,6.459873,7.500532,https://enugupoi.appspot.com/view/binaryData?blobKey=build_POI-Picture-Form_1374250655%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fdata%5B%40key%3Duuid%3Abf02f6db-aa63-48ee-83a5-0630387f3699%5D%2FPOI_Picture1,,,
